LEM,POL
atrapalharíeis,negative
atrapalharmo,negative
atrapalharmos,negative
atrapalhas,negative
atrapalhasse,negative
atrapalhásseis,negative
atrapalhassem,negative
atrapalhássemos,negative
atrapalhasses,negative
atrapalhaste,negative
atrapalhastes,negative
atrapalhava,negative
atrapalhavam,negative
atrapalhávamo,negative
atrapalhávamos,negative
atrapalhavas,negative
atrapalhávei,negative
atrapalháveis,negative
atrapalhe,negative
atrapalhei,negative
atrapalheis,negative
atrapalhem,negative
atrapalhemo,negative
atrapalhemos,negative
atrapalhes,negative
atrapalho,negative
atrapalhou,negative
atrasada,negative
atrasadas,negative
atrasado,negative
atrasados,negative
atraso,negative
atrativa,positive
atrativas,positive
atrativo,positive
atrativos,positive
atravessada,negative
atravessadas,negative
atravessadiça,negative
atravessadiças,negative
atravessadiço,negative
atravessadiços,negative
atravessado,negative
atravessados,negative
atrevida,neutral
atrevidas,neutral
atrevido,neutral
atrevidos,neutral
atrevidota,neutral
atrevidotas,neutral
atrevidote,neutral
atrevidotes,neutral
atribulada,negative
atribuladas,negative
atribulado,negative
atribulados,negative
atroador,negative
atroadora,negative
atroadoras,negative
atroadores,negative
atrocidade,negative
atrocidades,negative
atrofia,negative
atrofiá,negative
atrofiada,negative
atrofiadas,negative
atrofiado,negative
atrofiados,negative
atrofiai,negative
atrofiais,negative
atrofiam,negative
atrofiámo,negative
atrofiamo,negative
atrofiámos,negative
atrofiamos,negative
atrofiando,negative
atrofiante,negative
atrofiantes,negative
atrofiar,negative
atrofiará,negative
atrofiara,negative
atrofiaram,negative
atrofiáramo,negative
atrofiáramos,negative
atrofiarão,negative
atrofiarás,negative
atrofiaras,negative
atrofiarde,negative
atrofiardes,negative
atrofiare,negative
atrofiarei,negative
atrofiárei,negative
atrofiareis,negative
atrofiáreis,negative
atrofiarem,negative
atrofiaremos,negative
atrofiares,negative
atrofiaria,negative
atrofiariam,negative
atrofiaríamos,negative
atrofiarias,negative
atrofiaríeis,negative
atrofiarmo,negative
atrofiarmos,negative
atrofias,negative
atrofiasse,negative
atrofiásseis,negative
atrofiassem,negative
atrofiássemos,negative
atrofiasses,negative
atrofiaste,negative
atrofiastes,negative
atrofiava,negative
atrofiavam,negative
atrofiávamo,negative
atrofiávamos,negative
atrofiavas,negative
atrofiávei,negative
atrofiáveis,negative
atrofie,negative
atrofiei,negative
atrofieis,negative
atrofiem,negative
atrofiemo,negative
atrofiemos,negative
atrofies,negative
atrofio,negative
atrofiou,negative
atropela,negative
atropelá,negative
atropelada,negative
atropeladas,negative
atropelado,negative
atropelados,negative
atropelai,negative
atropelais,negative
atropelam,negative
atropelámo,negative
atropelamo,negative
atropelámos,negative
atropelamos,negative
atropelando,negative
atropelar,negative
atropelará,negative
atropelara,negative
atropelaram,negative
atropeláramo,negative
atropeláramos,negative
atropelarão,negative
atropelarás,negative
atropelaras,negative
atropelarde,negative
atropelardes,negative
atropelare,negative
atropelarei,negative
atropelárei,negative
atropelareis,negative
atropeláreis,negative
atropelarem,negative
atropelaremos,negative
atropelares,negative
atropelaria,negative
atropelariam,negative
atropelaríamos,negative
atropelarias,negative
atropelaríeis,negative
atropelarmo,negative
atropelarmos,negative
atropelas,negative
atropelasse,negative
atropelásseis,negative
atropelassem,negative
atropelássemos,negative
atropelasses,negative
atropelaste,negative
atropelastes,negative
atropelava,negative
atropelavam,negative
atropelávamo,negative
atropelávamos,negative
atropelavas,negative
atropelávei,negative
atropeláveis,negative
atropele,negative
atropelei,negative
atropeleis,negative
atropelem,negative
atropelemo,negative
atropelemos,negative
atropeles,negative
atropelo,negative
atropelou,negative
atroz,negative
atrozes,negative
atulhada,negative
atulhadas,negative
atulhado,negative
atulhados,negative
atura,negative
aturá,negative
aturado,negative
aturai,negative
aturais,negative
aturam,negative
aturámo,negative
aturamo,negative
aturámos,negative
aturamos,negative
aturando,negative
aturar,negative
aturará,negative
aturara,negative
aturaram,negative
aturáramo,negative
aturáramos,negative
aturarão,negative
aturarás,negative
aturaras,negative
aturarde,negative
aturardes,negative
aturare,negative
aturarei,negative
aturárei,negative
aturareis,negative
aturáreis,negative
aturarem,negative
aturaremos,negative
aturares,negative
aturaria,negative
aturariam,negative
aturaríamos,negative
aturarias,negative
aturaríeis,negative
aturarmo,negative
aturarmos,negative
aturas,negative
aturasse,negative
aturásseis,negative
aturassem,negative
aturássemos,negative
aturasses,negative
aturaste,negative
aturastes,negative
aturava,negative
aturavam,negative
aturávamo,negative
aturávamos,negative
aturavas,negative
aturávei,negative
aturáveis,negative
aturda,neutral
aturdais,neutral
aturdam,neutral
aturdamo,neutral
aturdamos,neutral
aturdas,neutral
aturde,neutral
aturdem,neutral
aturdes,neutral
aturdi,neutral
aturdia,neutral
aturdiam,neutral
aturdíamo,neutral
aturdíamos,neutral
aturdias,neutral
aturdida,negative
aturdidas,negative
aturdido,negative
aturdidos,negative
aturdíei,neutral
aturdíeis,neutral
aturdimo,neutral
aturdimos,neutral
aturdindo,neutral
aturdir,neutral
aturdirá,neutral
aturdira,neutral
aturdiram,neutral
aturdíramo,neutral
aturdíramos,neutral
aturdirão,neutral
aturdirás,neutral
aturdiras,neutral
aturdirde,neutral
aturdirdes,neutral
aturdire,neutral
aturdirei,neutral
aturdírei,neutral
aturdireis,neutral
aturdíreis,neutral
aturdirem,neutral
aturdiremos,neutral
aturdires,neutral
aturdiria,neutral
aturdiriam,neutral
aturdiríamos,neutral
aturdirias,neutral
aturdiríeis,neutral
aturdirmo,neutral
aturdirmos,neutral
aturdis,neutral
aturdisse,neutral
aturdísseis,neutral
aturdissem,neutral
aturdíssemos,neutral
aturdisses,neutral
aturdiste,neutral
aturdistes,neutral
aturdiu,neutral
aturdo,neutral
ature,negative
aturei,negative
atureis,negative
aturem,negative
aturemo,negative
aturemos,negative
atures,negative
aturo,negative
aturou,negative
audaciosa,neutral
audaciosas,neutral
audacioso,neutral
audaciosos,neutral
audaz,neutral
audazes,neutral
áurea,positive
áureas,positive
áureo,positive
áureos,positive
auspiciosa,positive
auspiciosas,positive
auspicioso,positive
auspiciosos,positive
austera,negative
austeras,negative
austero,negative
austeros,negative
autêntica,positive
autênticas,positive
autenticidade,positive
autêntico,positive
autênticos,positive
autismo,negative
autista,negative
autistas,negative
autoconfiança,positive
autoconfiante,positive
autoconfiantes,positive
autocrata,neutral
autocratas,neutral
autodestruição,negative
autodestrutiva,negative
autodestrutivas,negative
autodestrutivo,negative
autodestrutivos,negative
autodidacta,positive
autodidactas,positive
autodidata,positive
autodidatas,positive
autónoma,positive
autónomas,positive
autonomia,positive
autonomista,positive
autonomistas,positive
autónomo,positive
autónomos,positive
autoritária,negative
autoritárias,negative
autoritário,negative
autoritários,negative
autoritarismo,negative
autorizada,positive
autorizadas,positive
autorizado,positive
autorizados,positive
autosuficiência,positive
autosuficiente,positive
autosuficientes,positive
auxiliada,neutral
auxiliadas,neutral
auxiliado,neutral
auxiliados,neutral
avançada,positive
avançadas,positive
avançado,positive
avançados,positive
avantajada,neutral
avantajadas,neutral
avantajado,neutral
avantajados,neutral
avara,negative
avaras,negative
avarenta,negative
avarentas,negative
avarento,negative
avarentos,negative
avareza,negative
avaria,negative
avariá,negative
avariada,negative
avariadas,negative
avariado,negative
avariados,negative
avariai,negative
avariais,negative
avariam,negative
avariámo,negative
avariamo,negative
avariámos,negative
avariamos,negative
avariando,negative
avariar,negative
avariará,negative
avariara,negative
avariaram,negative
avariáramo,negative
avariáramos,negative
avariarão,negative
avariarás,negative
avariaras,negative
avariarde,negative
avariardes,negative
avariare,negative
avariarei,negative
avariárei,negative
avariareis,negative
avariáreis,negative
avariarem,negative
avariaremos,negative
avariares,negative
avariaria,negative
avariariam,negative
avariaríamos,negative
avariarias,negative
avariaríeis,negative
avariarmo,negative
avariarmos,negative
avarias,negative
avariasse,negative
avariásseis,negative
avariassem,negative
avariássemos,negative
avariasses,negative
avariaste,negative
avariastes,negative
avariava,negative
avariavam,negative
avariávamo,negative
avariávamos,negative
avariavas,negative
avariávei,negative
avariáveis,negative
avarie,negative
avariei,negative
avarieis,negative
avariem,negative
avariemo,negative
avariemos,negative
avaries,negative
avario,negative
avariou,negative
avaro,negative
avaros,negative
avassala,neutral
avassalá,neutral
avassalado,neutral
avassalador,negative
avassaladora,negative
avassaladoras,negative
avassaladores,negative
avassalai,neutral
avassalais,neutral
avassalam,neutral
avassalamento,negative
avassalámo,neutral
avassalamo,neutral
avassalámos,neutral
avassalamos,neutral
avassalando,neutral
avassalante,negative
avassalantes,negative
avassalar,neutral
avassalará,neutral
avassalara,neutral
avassalaram,neutral
avassaláramo,neutral
avassaláramos,neutral
avassalarão,neutral
avassalarás,neutral
avassalaras,neutral
avassalarde,neutral
avassalardes,neutral
avassalare,neutral
avassalarei,neutral
avassalárei,neutral
avassalareis,neutral
avassaláreis,neutral
avassalarem,neutral
avassalaremos,neutral
avassalares,neutral
avassalaria,neutral
avassalariam,neutral
avassalaríamos,neutral
avassalarias,neutral
avassalaríeis,neutral
avassalarmo,neutral
avassalarmos,neutral
avassalas,neutral
avassalasse,neutral
avassalásseis,neutral
avassalassem,neutral
avassalássemos,neutral
avassalasses,neutral
avassalaste,neutral
avassalastes,neutral
avassalava,neutral
avassalavam,neutral
avassalávamo,neutral
avassalávamos,neutral
avassalavas,neutral
avassalávei,neutral
avassaláveis,neutral
avassale,neutral
avassalei,neutral
avassaleis,neutral
avassalem,neutral
avassalemo,neutral
avassalemos,neutral
avassales,neutral
avassalo,neutral
avassalou,neutral
avençada,neutral
avençadas,neutral
avençado,neutral
avençados,neutral
aventurada,neutral
aventuradas,neutral
aventurado,neutral
aventurados,neutral
aventureira,neutral
aventureiras,neutral
aventureiro,neutral
aventureiros,neutral
aventurosa,neutral
aventurosas,neutral
aventuroso,neutral
aventurosos,neutral
averiguador,neutral
averiguadora,neutral
averiguadoras,neutral
averiguadores,neutral
avermelhada,neutral
avermelhadas,neutral
avermelhado,neutral
avermelhados,neutral
averroísta,neutral
averroístas,neutral
aversa,negative
aversas,negative
averso,negative
aversos,negative
avessa,negative
avessas,negative
avesso,negative
avessos,negative
ávida,negative
ávidas,negative
ávido,negative
ávidos,negative
aviltada,negative
aviltadas,negative
aviltado,negative
aviltador,negative
aviltadora,negative
aviltadoras,negative
aviltadores,negative
aviltados,negative
aviltante,negative
aviltantes,negative
avinagrada,negative
avinagradas,negative
avinagrado,negative
avinagrados,negative
avinhada,negative
avinhadas,negative
avinhado,negative
avinhados,negative
avisada,positive
avisadas,positive
avisado,positive
avisados,positive
avulsa,negative
avulsas,negative
avulso,negative
avulsos,negative
azafamada,negative
azafamadas,negative
azafamado,negative
azafamados,negative
azambrada,negative
azambradas,negative
azambrado,negative
azambrados,negative
azar,negative
azarada,negative
azaradas,negative
azarado,negative
azarados,negative
azarenta,negative
azarentas,negative
azarento,negative
azarentos,negative
azares,negative
azeda,negative
azedá,negative
azedado,negative
azedai,negative
azedais,negative
azedam,negative
azedámo,negative
azedamo,negative
azedámos,negative
azedamos,negative
azedando,negative
azedar,negative
azedará,negative
azedara,negative
azedaram,negative
azedáramo,negative
azedáramos,negative
azedarão,negative
azedarás,negative
azedaras,negative
azedarde,negative
azedardes,negative
azedare,negative
azedarei,negative
azedárei,negative
azedareis,negative
azedáreis,negative
azedarem,negative
azedaremos,negative
azedares,negative
azedaria,negative
azedariam,negative
azedaríamos,negative
azedarias,negative
azedaríeis,negative
azedarmo,negative
azedarmos,negative
azedas,negative
azedasse,negative
azedásseis,negative
azedassem,negative
azedássemos,negative
azedasses,negative
azedaste,negative
azedastes,negative
azedava,negative
azedavam,negative
azedávamo,negative
azedávamos,negative
azedavas,negative
azedávei,negative
azedáveis,negative
azede,negative
azedei,negative
azedeis,negative
azedem,negative
azedemo,negative
azedemos,negative
azedes,negative
azedo,negative
azedos,negative
azedou,negative
azedume,negative
azeiteira,negative
azeiteiras,negative
azeiteiro,negative
azeiteiros,negative
azelha,negative
azelhas,negative
azelhice,negative
azoinante,negative
azoinantes,negative
azougada,negative
azougadas,negative
azougado,negative
azougados,negative
babaca,negative
babacas,negative
babão,negative
babãos,negative
babilónica,negative
babilónicas,negative
babilónico,negative
babilónicos,negative
babona,negative
babonas,negative
babosa,negative
babosas,negative
baboseira,negative
baboseiras,negative
babosice,negative
babosices,negative
baboso,negative
babosos,negative
bacana,positive
bacanas,positive
bacano,positive
bacanos,positive
bacoca,negative
bacocas,negative
bacoco,negative
bacocos,negative
baconiana,neutral
baconianas,neutral
baconiano,neutral
baconianos,neutral
bacoquice,negative
bacoquices,negative
badalhoca,negative
badalhocas,negative
badalhoco,negative
badalhocos,negative
badalhoquice,negative
badalhoquices,negative
bagaceira,negative
bagaceiras,negative
bagaceiro,negative
bagaceiros,negative
bagunceira,negative
bagunceiras,negative
bagunceiro,negative
bagunceiros,negative
bairrista,neutral
bairristas,neutral
baixeza,negative
baixota,negative
baixotas,negative
baixote,negative
baixotes,negative
bajula,negative
bajulá,negative
bajulado,negative
bajulador,negative
bajuladora,negative
bajuladoras,negative
bajuladores,negative
bajulai,negative
bajulais,negative
bajulam,negative
bajulámo,negative
bajulamo,negative
bajulámos,negative
bajulamos,negative
bajulando,negative
bajular,negative
bajulará,negative
bajulara,negative
bajularam,negative
bajuláramo,negative
bajuláramos,negative
bajularão,negative
bajularás,negative
bajularas,negative
bajularde,negative
bajulardes,negative
bajulare,negative
bajularei,negative
bajulárei,negative
bajulareis,negative
bajuláreis,negative
bajularem,negative
bajularemos,negative
bajulares,negative
bajularia,negative
bajulariam,negative
bajularíamos,negative
bajularias,negative
bajularíeis,negative
bajularmo,negative
bajularmos,negative
bajulas,negative
bajulasse,negative
bajulásseis,negative
bajulassem,negative
bajulássemos,negative
bajulasses,negative
bajulaste,negative
bajulastes,negative
bajulava,negative
bajulavam,negative
bajulávamo,negative
bajulávamos,negative
bajulavas,negative
bajulávei,negative
bajuláveis,negative
bajule,negative
bajulei,negative
bajuleis,negative
bajulem,negative
bajulemo,negative
bajulemos,negative
bajules,negative
bajulo,negative
bajulou,negative
balbuciante,negative
balbuciantes,negative
balofa,negative
balofas,negative
balofice,negative
balofo,negative
balofos,negative
bamba,negative
bambas,negative
bambo,negative
bambos,negative
bana,neutral
banais,negative
banal,negative
banalidade,negative
banalidades,negative
banaliza,negative
banalizá,negative
banalizado,negative
banalizai,negative
banalizais,negative
banalizam,negative
banalizámo,negative
banalizamo,negative
banalizámos,negative
banalizamos,negative
banalizando,negative
banalizar,negative
banalizará,negative
banalizara,negative
banalizaram,negative
banalizáramo,negative
banalizáramos,negative
banalizarão,negative
banalizarás,negative
banalizaras,negative
banalizarde,negative
banalizardes,negative
banalizare,negative
banalizarei,negative
banalizárei,negative
banalizareis,negative
banalizáreis,negative
banalizarem,negative
banalizaremos,negative
banalizares,negative
banalizaria,negative
banalizariam,negative
banalizaríamos,negative
banalizarias,negative
banalizaríeis,negative
banalizarmo,negative
banalizarmos,negative
banalizas,negative
banalizasse,negative
banalizásseis,negative
banalizassem,negative
banalizássemos,negative
banalizasses,negative
banalizaste,negative
banalizastes,negative
banalizava,negative
banalizavam,negative
banalizávamo,negative
banalizávamos,negative
banalizavas,negative
banalizávei,negative
banalizáveis,negative
banalize,negative
banalizei,negative
banalizeis,negative
banalizem,negative
banalizemo,negative
banalizemos,negative
banalizes,negative
banalizo,negative
banalizou,negative
banam,neutral
banamo,neutral
banamos,neutral
banana,negative
bananas,negative
banas,neutral
bancarrota,negative
bandida,negative
bandidas,negative
bandido,negative
bandidos,negative
banditismo,negative
bane,neutral
banem,neutral
banes,neutral
banhada,neutral
banhadas,neutral
banhado,neutral
banhados,neutral
bani,neutral
bania,neutral
baniam,neutral
baníamo,neutral
baníamos,neutral
banias,neutral
banida,negative
banidas,negative
banido,negative
banidos,negative
baníei,neutral
baníeis,neutral
banimo,neutral
banimos,neutral
banindo,neutral
banir,neutral
banirá,neutral
banira,neutral
baniram,neutral
baníramo,neutral
baníramos,neutral
banirão,neutral
banirás,neutral
baniras,neutral
banirde,neutral
banirdes,neutral
banire,neutral
banirei,neutral
banírei,neutral
banireis,neutral
baníreis,neutral
banirem,neutral
baniremos,neutral
banires,neutral
baniria,neutral
baniriam,neutral
baniríamos,neutral
banirias,neutral
baniríeis,neutral
banirmo,neutral
banirmos,neutral
banis,neutral
banisse,neutral
banísseis,neutral
banissem,neutral
baníssemos,neutral
banisses,neutral
baniste,neutral
banistes,neutral
baniu,neutral
bano,neutral
banzada,negative
banzadas,negative
banzado,negative
banzados,negative
barafusta,negative
barafustado,negative
barafustai,negative
barafustais,negative
barafustam,negative
barafustámo,negative
barafustamo,negative
barafustámos,negative
barafustamos,negative
barafustando,negative
barafustar,negative
barafustará,negative
barafustara,negative
barafustaram,negative
barafustáramo,negative
barafustáramos,negative
barafustarão,negative
barafustarás,negative
barafustaras,negative
barafustardes,negative
barafustarei,negative
barafustareis,negative
barafustáreis,negative
barafustarem,negative
barafustaremos,negative
barafustares,negative
barafustaria,negative
barafustariam,negative
barafustaríamos,negative
barafustarias,negative
barafustaríeis,negative
barafustarmo,negative
barafustarmos,negative
barafustas,negative
barafustasse,negative
barafustásseis,negative
barafustassem,negative
barafustássemos,negative
barafustasses,negative
barafustaste,negative
barafustastes,negative
barafustava,negative
barafustavam,negative
barafustávamo,negative
barafustávamos,negative
barafustavas,negative
barafustáveis,negative
barafuste,negative
barafustei,negative
barafusteis,negative
barafustem,negative
barafustemo,negative
barafustemos,negative
barafustes,negative
barafusto,negative
barafustou,negative
baralha,negative
baralhá,negative
baralhada,negative
baralhadas,negative
baralhado,negative
baralhados,negative
baralhai,negative
baralhais,negative
baralham,negative
baralhámo,negative
baralhamo,negative
baralhámos,negative
baralhamos,negative
baralhando,negative
baralhar,negative
baralhará,negative
baralhara,negative
baralharam,negative
baralháramo,negative
baralháramos,negative
baralharão,negative
baralharás,negative
baralharas,negative
baralharde,negative
baralhardes,negative
baralhare,negative
baralharei,negative
baralhárei,negative
baralhareis,negative
baralháreis,negative
baralharem,negative
baralharemos,negative
baralhares,negative
baralharia,negative
baralhariam,negative
baralharíamos,negative
baralharias,negative
baralharíeis,negative
baralharmo,negative
baralharmos,negative
baralhas,negative
baralhasse,negative
baralhásseis,negative
baralhassem,negative
baralhássemos,negative
baralhasses,negative
baralhaste,negative
baralhastes,negative
baralhava,negative
baralhavam,negative
baralhávamo,negative
baralhávamos,negative
baralhavas,negative
baralhávei,negative
baralháveis,negative
baralhe,negative
baralhei,negative
baralheis,negative
baralhem,negative
baralhemo,negative
baralhemos,negative
baralhes,negative
baralho,negative
baralhou,negative
barata,negative
baratas,negative
barateira,neutral
barateiras,neutral
barateiro,neutral
barateiros,neutral
barato,negative
baratos,negative
barbada,neutral
barbadas,neutral
barbado,neutral
barbados,neutral
bárbara,negative
bárbaras,negative
barbaridade,negative
barbaridades,negative
bárbaro,negative
bárbaros,negative
barbeada,neutral
barbeadas,neutral
barbeado,neutral
barbeados,neutral
barbilonga,neutral
barbilongas,neutral
barbilongo,neutral
barbilongos,neutral
barbuda,neutral
barbudas,neutral
barbudo,neutral
barbudos,neutral
barrada,negative
barradas,negative
barrado,negative
barrados,negative
barraqueira,negative
barraqueiras,negative
barraqueiro,negative
barraqueiros,negative
barrigana,negative
barriganas,negative
barriguda,negative
barrigudas,negative
barrigudo,negative
barrigudos,negative
barroca,negative
barrocas,negative
barroco,negative
barrocos,negative
barulhenta,negative
barulhentas,negative
barulhento,negative
barulhentos,negative
baselga,negative
baselgas,negative
básica,negative
básicas,negative
básico,negative
básicos,negative
basta,neutral
bastarda,negative
bastardas,negative
bastardo,negative
bastardos,negative
bastas,neutral
basto,neutral
bastos,neutral
bata,neutral
batais,neutral
batalha,positive
batalhado,positive
batalhador,positive
batalhadora,positive
batalhadoras,positive
batalhadores,positive
batalhai,positive
batalhais,positive
batalham,positive
batalhámo,positive
batalhamo,positive
batalhámos,positive
batalhamos,positive
batalhando,positive
batalhante,positive
batalhantes,positive
batalhar,positive
batalhará,positive
batalhara,positive
batalharam,positive
batalháramo,positive
batalháramos,positive
batalharão,positive
batalharás,positive
batalharas,positive
batalhardes,positive
batalharei,positive
batalhareis,positive
batalháreis,positive
batalharem,positive
batalharemos,positive
batalhares,positive
batalharia,positive
batalhariam,positive
batalharíamos,positive
batalharias,positive
batalharíeis,positive
batalharmo,positive
batalharmos,positive
batalhas,positive
batalhasse,positive
batalhásseis,positive
batalhassem,positive
batalhássemos,positive
batalhasses,positive
batalhaste,positive
batalhastes,positive
batalhava,positive
batalhavam,positive
batalhávamo,positive
batalhávamos,positive
batalhavas,positive
batalháveis,positive
batalhe,positive
batalhei,positive
batalheis,positive
batalhem,positive
batalhemo,positive
batalhemos,positive
batalhes,positive
batalho,positive
batalhou,positive
batam,neutral
batamo,neutral
batamos,neutral
batas,neutral
batateira,neutral
batateiras,neutral
batateiro,neutral
batateiros,neutral
batatuda,negative
batatudas,negative
batatudo,negative
batatudos,negative
bate,neutral
batê,neutral
batei,neutral
bateis,neutral
batem,neutral
batemo,neutral
batemos,neutral
batendo,neutral
bater,neutral
baterá,neutral
batera,neutral
bateram,neutral
batêramo,neutral
batêramos,neutral
baterão,neutral
baterás,neutral
bateras,neutral
baterde,neutral
baterdes,neutral
batere,neutral
baterei,neutral
batêrei,neutral
batereis,neutral
batêreis,neutral
baterem,neutral
bateremos,neutral
bateres,neutral
bateria,neutral
bateriam,neutral
bateríamos,neutral
baterias,neutral
bateríeis,neutral
batermo,neutral
batermos,neutral
bates,neutral
batesse,neutral
batêsseis,neutral
batessem,neutral
batêssemos,neutral
batesses,neutral
bateste,neutral
batestes,neutral
bateu,neutral
bati,neutral
batia,neutral
batiam,neutral
batíamo,neutral
batíamos,neutral
batias,neutral
batida,negative
batidas,negative
batido,negative
batidos,negative
batíei,neutral
batíeis,neutral
bato,neutral
batota,negative
batoteira,negative
batoteiras,negative
batoteiro,negative
batoteiros,negative
batotice,negative
bazófia,negative
bazófias,negative
bazófio,negative
bazófios,negative
beata,negative
beatas,negative
beatice,negative
beato,negative
beatos,negative
bêbada,negative
bêbadas,negative
bêbado,negative
bêbados,negative
bêbeda,negative
bêbedas,negative
bebedeira,negative
bebedeiras,negative
bêbedo,negative
bebedor,negative
bebedora,negative
bebedoras,negative
bebedores,negative
bêbedos,negative
beberrão,negative
beberrões,negative
beberrona,negative
beberronas,negative
bebida,negative
bebidas,negative
bebido,negative
bebidos,negative
bebum,negative
bebuns,negative
beiçuda,negative
beiçudas,negative
beiçudo,negative
beiçudos,negative
beijoqueira,neutral
beijoqueiras,neutral
beijoqueiro,neutral
beijoqueiros,neutral
bela,positive
belas,positive
beleza,positive
belfa,negative
belfas,negative
belfo,negative
belfos,negative
bélica,negative
bélicas,negative
belicismo,negative
belicista,negative
belicistas,negative
bélico,negative
bélicos,negative
belicosa,negative
belicosas,negative
belicoso,negative
belicosos,negative
belíssima,positive
belíssimas,positive
belíssimo,positive
belíssimos,positive
belo,positive
belos,positive
bem-amada,positive
bem-amadas,positive
bem-amado,positive
bem-amados,positive
bem-apessoada,positive
bem-apessoadas,positive
bem-apessoado,positive
bem-apessoados,positive
bem-aventurada,positive
bem-aventuradas,positive
bem-aventurado,positive
bem-aventurados,positive
bem-colocada,positive
bem-colocadas,positive
bem-colocado,positive
bem-colocados,positive
bem-comportada,positive
bem-comportadas,positive
bem-comportado,positive
bem-comportados,positive
bem-criada,positive
bem-criadas,positive
bem-criado,positive
bem-criados,positive
bem-educada,positive
bem-educadas,positive
bem-educado,positive
bem-educados,positive
bem-encarada,positive
bem-encaradas,positive
bem-encarado,positive
bem-encarados,positive
bem-falante,positive
bem-falantes,positive
bem-formada,positive
bem-formadas,positive
bem-formado,positive
bem-formados,positive
bem-humorada,positive
bem-humoradas,positive
bem-humorado,positive
bem-humorados,positive
bem-intencionada,positive
bem-intencionadas,positive
bem-intencionado,positive
bem-intencionados,positive
bem-mandada,neutral
bem-mandadas,neutral
bem-mandado,neutral
bem-mandados,neutral
bem-paga,neutral
bem-pagas,neutral
bem-pago,neutral
bem-pagos,neutral
bem-parecida,positive
bem-parecidas,positive
bem-parecido,positive
bem-parecidos,positive
bem-pensante,positive
bem-pensantes,positive
bem-posta,positive
bem-postas,positive
bem-posto,positive
bem-postos,positive
bem-sucedida,positive
bem-sucedidas,positive
bem-sucedido,positive
bem-sucedidos,positive
bem-vinda,positive
bem-vindas,positive
bem-vindo,positive
bem-vindos,positive
bendita,positive
benditas,positive
bendito,positive
benditos,positive
beneditina,neutral
beneditinas,neutral
beneditino,neutral
beneditinos,neutral
benéfica,positive
benéficas,positive
beneficiada,neutral
beneficiadas,neutral
beneficiado,neutral
beneficiados,neutral
benéfico,positive
benéficos,positive
benemerência,positive
benemérita,positive
beneméritas,positive
benemérito,positive
beneméritos,positive
benévola,positive
benêvola,positive
benévolas,positive
benêvolas,positive
benevolência,positive
benevolente,positive
benevolentes,positive
benévolo,positive
benêvolo,positive
benévolos,positive
benêvolos,positive
benfazeja,positive
benfazejas,positive
benfazejo,positive
benfazejos,positive
benfeitor,positive
benfeitora,positive
benfeitoras,positive
benfeitores,positive
benfeitoria,positive
benfiquista,neutral
benfiquistas,neutral
benigna,positive
benignas,positive
benignidade,positive
benigno,positive
benignos,positive
benquista,positive
benquistas,positive
benquisto,positive
benquistos,positive
bera,negative
beras,negative
besta,negative
bestas,negative
bestiais,neutral
bestial,neutral
bestialidade,positive
bestificada,negative
bestificadas,negative
bestificado,negative
bestificados,negative
bexiguenta,negative
bexiguentas,negative
bexiguento,negative
bexiguentos,negative
bibliómana,neutral
bibliómanas,neutral
bibliomania,negative
bibliómano,neutral
bibliómanos,neutral
bígama,neutral
bígamas,neutral
bígamo,neutral
bígamos,neutral
bilingue,neutral
bilingues,neutral
biliosa,negative
biliosas,negative
bilioso,negative
biliosos,negative
biltre,negative
biltres,negative
bimba,negative
bimbas,negative
bimbo,negative
bimbos,negative
biqueira,negative
biqueiras,negative
biqueiro,negative
biqueiros,negative
birra,negative
birras,negative
birrenta,negative
birrentas,negative
birrento,negative
birrentos,negative
biruta,negative
birutas,negative
bisbilhota,negative
bisbilhotá,negative
bisbilhotado,negative
bisbilhotai,negative
bisbilhotais,negative
bisbilhotam,negative
bisbilhotámo,negative
bisbilhotamo,negative
bisbilhotámos,negative
bisbilhotamos,negative
bisbilhotando,negative
bisbilhotar,negative
bisbilhotará,negative
bisbilhotara,negative
bisbilhotaram,negative
bisbilhotáramo,negative
bisbilhotáramos,negative
bisbilhotarão,negative
bisbilhotarás,negative
bisbilhotaras,negative
bisbilhotarde,negative
bisbilhotardes,negative
bisbilhotare,negative
bisbilhotarei,negative
bisbilhotárei,negative
bisbilhotareis,negative
bisbilhotáreis,negative
bisbilhotarem,negative
bisbilhotaremos,negative
bisbilhotares,negative
bisbilhotaria,negative
bisbilhotariam,negative
bisbilhotaríamos,negative
bisbilhotarias,negative
bisbilhotaríeis,negative
bisbilhotarmo,negative
bisbilhotarmos,negative
bisbilhotas,negative
bisbilhotasse,negative
bisbilhotásseis,negative
bisbilhotassem,negative
bisbilhotássemos,negative
bisbilhotasses,negative
bisbilhotaste,negative
bisbilhotastes,negative
bisbilhotava,negative
bisbilhotavam,negative
bisbilhotávamo,negative
bisbilhotávamos,negative
bisbilhotavas,negative
bisbilhotávei,negative
bisbilhotáveis,negative
bisbilhote,negative
bisbilhotei,negative
bisbilhoteira,negative
bisbilhoteiras,negative
bisbilhoteiro,negative
bisbilhoteiros,negative
bisbilhoteis,negative
bisbilhotem,negative
bisbilhotemo,negative
bisbilhotemos,negative
bisbilhotes,negative
bisbilhotice,negative
bisbilhoto,negative
bisbilhotou,negative
bisonha,negative
bisonhas,negative
bisonho,negative
bisonhos,negative
bissexuais,neutral
bissexual,neutral
